id,product,card,color_code,full_name,base_name,base_qty,colorant_1_name,colorant_1_qty,colorant_2_name,colorant_2_qty,colorant_3_name,colorant_3_qty,colorant_4_name,colorant_4_qty,colorant_5_name,colorant_5_qty,colorant_6_name,colorant_6_qty,R,G,B
1,CARROLAC BRILL,NCS,S 2010 B,CARROLAC BRILL NCS S 2010 B,CARROLAC TRANSPARENTE,0.0,CARROLAC BLANCO,986.1,PT206 NEGRO PROFUNDO,12.0,P7080 AZUL,1.9,0,0.0,0,0.0,0,0.0,,,
2,CARROLAC BRILL,NCS,S 2060 B30G,CARROLAC BRILL NCS S 2060 B30G,CARROLAC TRANSPARENTE,682.0,CARROLAC BLANCO,255.0,P7080 AZUL,43.0,PT831 AMARILLO,20.0,0,0.0,0,0.0, ,0.0,,,
3,CARROLAC BRILL,NCS,S 5030 Y50R,CARROLAC BRILL NCS S 5030 Y50R,CARROLAC TRANSPARENTE,250.29999999999995,CARROLAC BLANCO,619.1,PT831 AMARILLO,88.1,PT908 ROJO OXIDO,36.8,PT244 NEGRO COLORES,5.7,0,0.0,0,0.0,,,
4,CARROLAC BRILL,RAL,1000,CARROLAC BRILL RAL 1000,CARROLAC TRANSPARENTE,212.99999999999997,CARROLAC BLANCO,667.0,P7080 AZUL,1.8,PT831 AMARILLO,24.6,PT804 AMARILLO OXIDO,93.6, ,0.0, ,0.0,204.0,197.0,143.0
5,CARROLAC BRILL,RAL,1001,CARROLAC BRILL RAL 1001,CARROLAC TRANSPARENTE,195.0,CARROLAC BLANCO,720.0,PT244 NEGRO COLORES,3.0,PT804 AMARILLO OXIDO,80.0,PT908 ROJO OXIDO,2.0,0,0.0, ,0.0,209.0,188.0,138.0
6,CARROLAC BRILL,RAL,1006,CARROLAC BRILL RAL 1006,CARROLAC TRANSPARENTE,693.7,CARROLAC BLANCO,156.0,PT244 NEGRO COLORES,0.8,PT8003 NARANJA,5.0,PT874 AMARILLO PERMAN.,144.5,0,0.0,0,0.0,225.0,161.0,0.0
7,CARROLAC BRILL,RAL,1007,CARROLAC BRILL RAL 1007,CARROLAC TRANSPARENTE,691.8,CARROLAC BLANCO,151.7,PT244 NEGRO COLORES,0.3,PT874 AMARILLO PERMAN.,152.7,PT908 ROJO OXIDO,3.5,0,0.0,0,0.0,231.0,156.0,0.0
8,CARROLAC BRILL,RAL,1011,CARROLAC BRILL RAL 1011,CARROLAC TRANSPARENTE,705.4,CARROLAC BLANCO,165.6,PT244 NEGRO COLORES,3.5,PT804 AMARILLO OXIDO,120.1,PT908 ROJO OXIDO,5.4,0,0.0,0,0.0,175.0,138.0,84.0
9,CARROLAC BRILL,RAL,1012,CARROLAC BRILL RAL 1012,CARROLAC TRANSPARENTE,750.0,CARROLAC BLANCO,122.0,PT244 NEGRO COLORES,0.3,PT831 AMARILLO,110.5,PT804 AMARILLO OXIDO,17.2,0,0.0,0,0.0,217.0,192.0,34.0
10,CARROLAC BRILL,RAL,1013,CARROLAC BRILL RAL 1013,CARROLAC TRANSPARENTE,0.0,CARROLAC BLANCO,991.2,P7080 AZUL,0.5,PT8003 NARANJA,4.1,PT831 AMARILLO,4.2,0,0.0,0,0.0,233.0,229.0,206.0
11,CARROLAC BRILL,RAL,1014,CARROLAC BRILL RAL 1014,CARROLAC TRANSPARENTE,0.0,CARROLAC BLANCO,936.02,PT244 NEGRO COLORES,0.86,PT700 VERDE,0.72,PT804 AMARILLO OXIDO,62.4,0,0.0,0,0.0,223.0,206.0,161.0
12,CARROLAC BRILL,RAL,1015,CARROLAC BRILL RAL 1015,CARROLAC TRANSPARENTE,0.0,CARROLAC BLANCO,981.46,PT244 NEGRO COLORES,0.86,PT831 AMARILLO,2.47,PT804 AMARILLO OXIDO,14.84,PT908 ROJO OXIDO,0.37,0,0.0,234.0,222.0,189.0
13,CARROLAC BRILL,RAL,1016,CARROLAC BRILL RAL 1016,CARROLAC TRANSPARENTE,515.999,CARROLAC BLANCO,252.0,PT244 NEGRO COLORES,0.001,PT8005 AMARILLO SIC,232.0,0,0.0,0,0.0,0,0.0,234.0,240.0,68.0
14,CARROLAC BRILL,RAL,1017,CARROLAC BRILL RAL 1017,CARROLAC TRANSPARENTE,296.80000000000007,CARROLAC BLANCO,565.3,PT8003 NARANJA,12.4,PT874 AMARILLO PERMAN.,83.0,PT804 AMARILLO OXIDO,42.5,0,0.0,0,0.0,244.0,183.0,82.0
15,CARROLAC BRILL,RAL,1018,CARROLAC BRILL RAL 1018,CARROLAC TRANSPARENTE,434.7,CARROLAC BLANCO,290.1,PT8003 NARANJA,4.5,PT8005 AMARILLO SIC,270.7,0,0.0,0,0.0,0,0.0,243.0,224.0,59.0
16,CARROLAC BRILL,RAL,1019,CARROLAC BRILL RAL 1019,CARROLAC TRANSPARENTE,179.14300000000003,CARROLAC BLANCO,709.02,PT244 NEGRO COLORES,17.927,PT804 AMARILLO OXIDO,81.71,PT908 ROJO OXIDO,12.2,0,0.0,0,0.0,164.0,149.0,125.0
17,CARROLAC BRILL,RAL,1020,CARROLAC BRILL RAL 1020,CARROLAC TRANSPARENTE,375.0,CARROLAC BLANCO,505.4,PT244 NEGRO COLORES,10.2,PT700 VERDE,3.0,PT804 AMARILLO OXIDO,106.4,0,0.0,0,0.0,154.0,148.0,100.0
18,CARROLAC BRILL,RAL,1021,CARROLAC BRILL RAL 1021,CARROLAC TRANSPARENTE,699.1999999999999,PT244 NEGRO COLORES,0.4,PT8005 AMARILLO SIC,254.3,PT874 AMARILLO PERMAN.,45.9,PT908 ROJO OXIDO,0.2,0,0.0,0,0.0,246.0,182.0,0.0
19,CARROLAC BRILL,RAL,1023,CARROLAC BRILL RAL 1023,CARROLAC TRANSPARENTE,800.4,CARROLAC BLANCO,2.6,PT8003 NARANJA,2.8,PT8005 AMARILLO SIC,190.0,PT874 AMARILLO PERMAN.,4.2,0,0.0,0,0.0,247.0,181.0,0.0
20,CARROLAC BRILL,RAL,1024,CARROLAC BRILL RAL 1024,CARROLAC TRANSPARENTE,804.6,CARROLAC BLANCO,75.4,PT244 NEGRO COLORES,3.0,PT8005 AMARILLO SIC,30.0,PT804 AMARILLO OXIDO,87.0,0,0.0,0,0.0,184.0,156.0,80.0
21,CARROLAC BRILL,RAL,1027,CARROLAC BRILL RAL 1027,CARROLAC TRANSPARENTE,808.3,CARROLAC BLANCO,71.7,P7080 AZUL,2.0,PT8003 NARANJA,3.0,PT874 AMARILLO PERMAN.,99.0,PT804 AMARILLO OXIDO,16.0,0,0.0,163.0,140.0,21.0
22,CARROLAC BRILL,RAL,1028,CARROLAC BRILL RAL 1028,CARROLAC TRANSPARENTE,695.0,CARROLAC BLANCO,148.0,PT8003 NARANJA,6.0,PT874 AMARILLO PERMAN.,151.0,0,0.0,0,0.0,0,0.0,,,
23,CARROLAC BRILL,RAL,1032,CARROLAC BRILL RAL 1032,CARROLAC TRANSPARENTE,668.8000000000001,CARROLAC BLANCO,75.9,PT244 NEGRO COLORES,0.8,PT8005 AMARILLO SIC,217.5,PT874 AMARILLO PERMAN.,34.5,PT908 ROJO OXIDO,2.5,0,0.0,221.0,178.0,15.0
24,CARROLAC BRILL,RAL,1034,CARROLAC BRILL RAL 1034,CARROLAC TRANSPARENTE,406.03000000000014,CARROLAC BLANCO,437.57,PT244 NEGRO COLORES,0.66,PT8003 NARANJA,36.44,PT831 AMARILLO,119.3,0,0.0,0,0.0,237.0,171.0,86.0
25,CARROLAC BRILL,RAL,1037,CARROLAC BRILL RAL 1037,CARROLAC TRANSPARENTE,532.7,CARROLAC BLANCO,300.0,PT244 NEGRO COLORES,0.3,PT8005 AMARILLO SIC,24.0,PT874 AMARILLO PERMAN.,140.0,PT908 ROJO OXIDO,3.0,0,0.0,238.0,162.0,5.0
26,CARROLAC BRILL,RAL,2000,CARROLAC BRILL RAL 2000,CARROLAC TRANSPARENTE,833.1999999999998,CARROLAC BLANCO,14.6,PT8003 NARANJA,17.6,PT831 AMARILLO,117.2,PT804 AMARILLO OXIDO,15.2,PT908 ROJO OXIDO,2.2,0,0.0,221.0,121.0,7.0
27,CARROLAC BRILL,RAL,2002,CARROLAC BRILL RAL 2002,CARROLAC TRANSPARENTE,793.1999999999999,CARROLAC BLANCO,12.2,PT8003 NARANJA,34.1,PT831 AMARILLO,129.7,PT972 ROJO,30.1,PT906 VIOLETA,0.7,0,0.0,198.0,57.0,39.0
28,CARROLAC BRILL,RAL,2003,CARROLAC BRILL RAL 2003,CARROLAC TRANSPARENTE,777.6,CARROLAC BLANCO,106.8,PT8003 NARANJA,49.7,PT8005 AMARILLO SIC,50.4,PT874 AMARILLO PERMAN.,15.5,0,0.0,0,0.0,250.0,132.0,43.0
29,CARROLAC BRILL,RAL,2004,CARROLAC BRILL RAL 2004,CARROLAC TRANSPARENTE,753.8,CARROLAC BLANCO,71.0,PT8003 NARANJA,87.2,PT831 AMARILLO,88.0,0,0.0,0,0.0,0,0.0,231.0,91.0,18.0
30,CARROLAC BRILL,RAL,2008,CARROLAC BRILL RAL 2008,CARROLAC TRANSPARENTE,734.3,CARROLAC BLANCO,125.0,PT244 NEGRO COLORES,0.1,PT8003 NARANJA,61.2,PT874 AMARILLO PERMAN.,79.4,0,0.0,0,0.0,243.0,117.0,44.0
31,CARROLAC BRILL,RAL,2009,CARROLAC BRILL RAL 2009,CARROLAC TRANSPARENTE,755.1099999999999,CARROLAC BLANCO,66.7,PT8003 NARANJA,101.1,PT874 AMARILLO PERMAN.,76.9,PT906 VIOLETA,0.19,0,0.0,0,0.0,225.0,85.0,1.0
32,CARROLAC BRILL,RAL,2010,CARROLAC BRILL RAL 2010,CARROLAC TRANSPARENTE,833.1999999999999,PT8003 NARANJA,36.5,PT831 AMARILLO,79.0,PT804 AMARILLO OXIDO,47.1,PT972 ROJO,4.2,0,0.0,0,0.0,212.0,101.0,47.0
33,CARROLAC BRILL,RAL,2011,CARROLAC BRILL RAL 2011,CARROLAC TRANSPARENTE,748.3,CARROLAC BLANCO,78.7,PT8003 NARANJA,45.4,PT874 AMARILLO PERMAN.,62.6,PT831 AMARILLO,43.2,PT804 AMARILLO OXIDO,21.8,0,0.0,236.0,124.0,37.0
34,CARROLAC BRILL,RAL,2012,CARROLAC BRILL RAL 2012,CARROLAC TRANSPARENTE,522.2,CARROLAC BLANCO,270.0,PT244 NEGRO COLORES,0.1,PT8005 AMARILLO SIC,162.7,PT972 ROJO,45.0,0,0.0,0,0.0,219.0,106.0,80.0
35,CARROLAC BRILL,RAL,3000,CARROLAC BRILL RAL 3000,CARROLAC TRANSPARENTE,764.4,CARROLAC BLANCO,35.4,PT8003 NARANJA,10.6,PT831 AMARILLO,89.8,PT908 ROJO OXIDO,25.2,PT972 ROJO,74.6,0,0.0,171.0,37.0,36.0
36,CARROLAC BRILL,RAL,3001,CARROLAC BRILL RAL 3001,CARROLAC TRANSPARENTE,778.7,CARROLAC BLANCO,31.3,PT8003 NARANJA,41.4,PT908 ROJO OXIDO,48.4,PT972 ROJO,100.2,0,0.0,0,0.0,160.0,33.0,40.0
37,CARROLAC BRILL,RAL,3002,CARROLAC BRILL RAL 3002,CARROLAC TRANSPARENTE,806.7,CARROLAC BLANCO,29.1,PT908 ROJO OXIDO,38.8,PT972 ROJO,125.4,0,0.0,0,0.0,0,0.0,161.0,35.0,43.0
38,CARROLAC BRILL,RAL,3003,CARROLAC BRILL RAL 3003,CARROLAC TRANSPARENTE,852.4000000000001,CARROLAC BLANCO,18.0,P7080 AZUL,0.3,PT972 ROJO,127.8,PT906 VIOLETA,1.5,0,0.0,0,0.0,141.0,29.0,44.0
39,CARROLAC BRILL,RAL,3004,CARROLAC BRILL RAL 3004,CARROLAC TRANSPARENTE,890.625,PT908 ROJO OXIDO,46.7,PT906 VIOLETA,0.8,PT92 ROJO SATAN-2,61.875,0,0.0,0,0.0,0,0.0,112.0,31.0,41.0
40,CARROLAC BRILL,RAL,3005,CARROLAC BRILL RAL 3005,CARROLAC TRANSPARENTE,855.2000000000002,CARROLAC BLANCO,26.3,PT244 NEGRO COLORES,3.5,PT908 ROJO OXIDO,46.3,PT906 VIOLETA,8.4,PT92 ROJO SATAN-2,60.300000000000004,0,0.0,94.0,32.0,40.0
41,CARROLAC BRILL,RAL,3007,CARROLAC BRILL RAL 3007,CARROLAC TRANSPARENTE,893.5,PT804 AMARILLO OXIDO,4.0,PT908 ROJO OXIDO,40.0,PT906 VIOLETA,40.0,PT92 ROJO SATAN-2,22.5,0,0.0,0,0.0,64.0,34.0,37.0
42,CARROLAC BRILL,RAL,3011,CARROLAC BRILL RAL 3011,CARROLAC TRANSPARENTE,867.0,CARROLAC BLANCO,12.0,P7080 AZUL,3.0,PT831 AMARILLO,35.0,PT972 ROJO,83.0,0,0.0,0,0.0,126.0,41.0,44.0
43,CARROLAC BRILL,RAL,3012,CARROLAC BRILL RAL 3012,CARROLAC TRANSPARENTE,362.2,CARROLAC BLANCO,508.0,PT8003 NARANJA,53.1,PT8005 AMARILLO SIC,45.7,PT908 ROJO OXIDO,31.0,0,0.0,0,0.0,203.0,141.0,115.0
44,CARROLAC BRILL,RAL,3013,CARROLAC BRILL RAL 3013,CARROLAC TRANSPARENTE,894.0000000000001,CARROLAC BLANCO,9.0,PT8003 NARANJA,49.4,PT908 ROJO OXIDO,15.8,PT972 ROJO,30.4,PT906 VIOLETA,1.4,0,0.0,156.0,50.0,46.0
45,CARROLAC BRILL,RAL,3015,CARROLAC BRILL RAL 3015,CARROLAC TRANSPARENTE,0.0,CARROLAC BLANCO,978.4,PT8005 AMARILLO SIC,5.4,PT972 ROJO,15.0,PT906 VIOLETA,1.2,0,0.0,0,0.0,225.0,166.0,173.0
46,CARROLAC BRILL,RAL,3016,CARROLAC BRILL RAL 3016,CARROLAC TRANSPARENTE,777.1,CARROLAC BLANCO,74.0,P7080 AZUL,0.9,PT8003 NARANJA,115.0,PT972 ROJO,33.0,0,0.0,0,0.0,172.0,64.0,52.0
47,CARROLAC BRILL,RAL,3017,CARROLAC BRILL RAL 3017,CARROLAC TRANSPARENTE,622.2,CARROLAC BLANCO,280.3,PT8003 NARANJA,38.9,PT908 ROJO OXIDO,7.9,PT972 ROJO,50.7,0,0.0,0,0.0,211.0,84.0,95.0
48,CARROLAC BRILL,RAL,3018,CARROLAC BRILL RAL 3018,CARROLAC TRANSPARENTE,652.0,CARROLAC BLANCO,237.6,PT244 NEGRO COLORES,0.5,PT831 AMARILLO,23.9,PT972 ROJO,86.0,0,0.0,0,0.0,209.0,65.0,82.0
49,CARROLAC BRILL,RAL,3020,CARROLAC BRILL RAL 3020,CARROLAC TRANSPARENTE,809.9999999999999,CARROLAC BLANCO,10.6,PT8003 NARANJA,143.6,PT908 ROJO OXIDO,6.6,PT972 ROJO,29.2,0,0.0,0,0.0,193.0,18.0,28.0
50,CARROLAC BRILL,RAL,3022,CARROLAC BRILL RAL 3022,CARROLAC TRANSPARENTE,390.85999999999996,CARROLAC BLANCO,456.0,PT8003 NARANJA,139.6,PT908 ROJO OXIDO,13.54,0,0.0,0,0.0,0,0.0,213.0,109.0,86.0
51,CARROLAC BRILL,RAL,3027,CARROLAC BRILL RAL 3027,CARROLAC TRANSPARENTE,770.25,CARROLAC BLANCO,120.0,PT972 ROJO,79.0,PT92 ROJO SATAN-2,30.75,0,0.0,0,0.0,0,0.0,180.0,32.0,65.0
52,CARROLAC BRILL,RAL,3028,CARROLAC BRILL RAL 3028,CARROLAC TRANSPARENTE,830.0,CARROLAC BLANCO,24.0,PT831 AMARILLO,87.0,PT972 ROJO,59.0,0,0.0,0,0.0,0,0.0,231.0,37.0,18.0
53,CARROLAC BRILL,RAL,3031,CARROLAC BRILL RAL 3031,CARROLAC TRANSPARENTE,784.1,CARROLAC BLANCO,98.0,PT8003 NARANJA,10.2,PT908 ROJO OXIDO,27.8,PT972 ROJO,79.9,0,0.0,0,0.0,172.0,50.0,59.0
54,CARROLAC BRILL,RAL,4001,CARROLAC BRILL RAL 4001,CARROLAC TRANSPARENTE,539.4999999999999,CARROLAC BLANCO,362.7,P7080 AZUL,1.1,PT244 NEGRO COLORES,27.0,PT905 ROSA,69.7,0,0.0,0,0.0,138.0,90.0,131.0
55,CARROLAC BRILL,RAL,4003,CARROLAC BRILL RAL 4003,CARROLAC TRANSPARENTE,510.19999999999993,CARROLAC BLANCO,384.5,PT8005 AMARILLO SIC,16.2,PT905 ROSA,89.1,0,0.0,0,0.0,0,0.0,209.0,91.0,143.0
56,CARROLAC BRILL,RAL,4004,CARROLAC BRILL RAL 4004,CARROLAC TRANSPARENTE,803.0,CARROLAC BLANCO,20.0,PT244 NEGRO COLORES,8.2,PT908 ROJO OXIDO,1.8,PT905 ROSA,167.0,0,0.0,0,0.0,105.0,22.0,57.0
57,CARROLAC BRILL,RAL,4005,CARROLAC BRILL RAL 4005,CARROLAC TRANSPARENTE,466.15999999999997,CARROLAC BLANCO,447.88,PT244 NEGRO COLORES,8.03,PT906 VIOLETA,23.09,PT92 ROJO SATAN-2,54.84,0,0.0,0,0.0,131.0,99.0,157.0
58,CARROLAC BRILL,RAL,4007,CARROLAC BRILL RAL 4007,CARROLAC TRANSPARENTE,807.0999999999999,CARROLAC BLANCO,83.2,PT905 ROSA,106.7,PT906 VIOLETA,3.0,0,0.0,0,0.0,0,0.0,74.0,32.0,59.0
59,CARROLAC BRILL,RAL,4008,CARROLAC BRILL RAL 4008,CARROLAC TRANSPARENTE,706.875,CARROLAC BLANCO,180.0,PT906 VIOLETA,2.5,PT92 ROJO SATAN-2,110.625,0,0.0,0,0.0,0,0.0,144.0,70.0,132.0
60,CARROLAC BRILL,RAL,4010,CARROLAC BRILL RAL 4010,CARROLAC TRANSPARENTE,503.30000000000007,CARROLAC BLANCO,332.9,PT972 ROJO,22.3,PT905 ROSA,141.5,0,0.0,0,0.0,0,0.0,198.0,54.0,120.0
61,CARROLAC BRILL,RAL,5000,CARROLAC BRILL RAL 5000,CARROLAC TRANSPARENTE,596.4,CARROLAC BLANCO,281.9,P7080 AZUL,43.0,PT244 NEGRO COLORES,59.7,PT906 VIOLETA,19.0,0,0.0,0,0.0,56.0,76.0,112.0
62,CARROLAC BRILL,RAL,5002,CARROLAC BRILL RAL 5002,CARROLAC TRANSPARENTE,737.7,CARROLAC BLANCO,146.5,P7080 AZUL,56.4,PT700 VERDE,7.4,PT906 VIOLETA,52.0,0,0.0,0,0.0,43.0,44.0,124.0
63,CARROLAC BRILL,RAL,5007,CARROLAC BRILL RAL 5007,CARROLAC TRANSPARENTE,469.20000000000005,CARROLAC BLANCO,402.8,P7080 AZUL,48.9,PT831 AMARILLO,36.0,PT906 VIOLETA,43.1,0,0.0,0,0.0,65.0,103.0,141.0
64,CARROLAC BRILL,RAL,5009,CARROLAC BRILL RAL 5009,CARROLAC TRANSPARENTE,656.1999999999999,CARROLAC BLANCO,218.6,P7080 AZUL,73.1,PT244 NEGRO COLORES,46.9,PT700 VERDE,5.2,0,0.0,0,0.0,46.0,89.0,120.0
65,CARROLAC BRILL,RAL,5010,CARROLAC BRILL RAL 5010,CARROLAC TRANSPARENTE,744.0,CARROLAC BLANCO,96.0,P7080 AZUL,155.0,PT972 ROJO,5.0,0,0.0,0,0.0,0,0.0,19.0,68.0,124.0
66,CARROLAC BRILL,RAL,5012,CARROLAC BRILL RAL 5012,CARROLAC TRANSPARENTE,0.0,CARROLAC BLANCO,875.4,P7080 AZUL,81.2,PT700 VERDE,23.8,PT906 VIOLETA,19.6,0,0.0,0,0.0,52.0,129.0,184.0
67,CARROLAC BRILL,RAL,5015,CARROLAC BRILL RAL 5015,CARROLAC TRANSPARENTE,210.69999999999996,CARROLAC BLANCO,622.1,P7080 AZUL,145.5,PT831 AMARILLO,6.8,PT906 VIOLETA,14.9,0,0.0,0,0.0,40.0,116.0,178.0
68,CARROLAC BRILL,RAL,5017,CARROLAC BRILL RAL 5017,CARROLAC TRANSPARENTE,736.3000000000001,CARROLAC BLANCO,139.0,P7080 AZUL,110.0,PT700 VERDE,9.8,PT906 VIOLETA,4.9,0,0.0,0,0.0,14.0,81.0,141.0
69,CARROLAC BRILL,RAL,5018,CARROLAC BRILL RAL 5018,CARROLAC TRANSPARENTE,351.4,CARROLAC BLANCO,534.5,P7080 AZUL,62.5,PT8003 NARANJA,18.6,PT831 AMARILLO,29.0,PT700 VERDE,4.0,0,0.0,33.0,136.0,143.0
70,CARROLAC BRILL,RAL,5022,CARROLAC BRILL RAL 5022,CARROLAC TRANSPARENTE,805.2,CARROLAC BLANCO,50.3,P7080 AZUL,57.7,PT700 VERDE,2.4,PT906 VIOLETA,84.4,0,0.0,0,0.0,47.0,42.0,90.0
71,CARROLAC BRILL,RAL,5024,CARROLAC BRILL RAL 5024,CARROLAC TRANSPARENTE,0.0,CARROLAC BLANCO,940.5,P7080 AZUL,31.0,PT244 NEGRO COLORES,21.0,PT972 ROJO,4.9,PT906 VIOLETA,2.6,0,0.0,106.0,147.0,176.0
72,CARROLAC BRILL,RAL,6000,CARROLAC BRILL RAL 6000,CARROLAC TRANSPARENTE,689.9999999999999,CARROLAC BLANCO,202.4,P7080 AZUL,22.7,PT244 NEGRO COLORES,20.7,PT831 AMARILLO,64.2,0,0.0,0,0.0,50.0,118.0,98.0
73,CARROLAC BRILL,RAL,6001,CARROLAC BRILL RAL 6001,CARROLAC TRANSPARENTE,776.3,CARROLAC BLANCO,51.1,PT831 AMARILLO,117.1,PT700 VERDE,41.4,PT908 ROJO OXIDO,14.1,0,0.0,0,0.0,40.0,113.0,62.0
74,CARROLAC BRILL,RAL,6002,CARROLAC BRILL RAL 6002,CARROLAC TRANSPARENTE,812.84,CARROLAC BLANCO,30.87,P7080 AZUL,17.27,PT831 AMARILLO,126.9,PT908 ROJO OXIDO,12.12,0,0.0,0,0.0,39.0,98.0,53.0
75,CARROLAC BRILL,RAL,6003,CARROLAC BRILL RAL 6003,CARROLAC TRANSPARENTE,798.7000000000002,CARROLAC BLANCO,59.3,PT244 NEGRO COLORES,37.3,PT700 VERDE,6.8,PT804 AMARILLO OXIDO,97.9,0,0.0,0,0.0,75.0,87.0,62.0
76,CARROLAC BRILL,RAL,6004,CARROLAC BRILL RAL 6004,CARROLAC TRANSPARENTE,820.8000000000001,CARROLAC BLANCO,51.4,P7080 AZUL,58.0,PT244 NEGRO COLORES,24.5,PT831 AMARILLO,45.3,0,0.0,0,0.0,14.0,66.0,67.0
77,CARROLAC BRILL,RAL,6005,CARROLAC BRILL RAL 6005,CARROLAC TRANSPARENTE,683.0,CARROLAC BLANCO,28.3,PT244 NEGRO COLORES,23.7,PT8003 NARANJA,3.0,PT700 VERDE,184.7,PT804 AMARILLO OXIDO,77.3,0,0.0,15.0,67.0,54.0
78,CARROLAC BRILL,RAL,6009,CARROLAC BRILL RAL 6009,CARROLAC TRANSPARENTE,843.0,PT831 AMARILLO,43.0,PT700 VERDE,83.0,PT804 AMARILLO OXIDO,7.0,PT908 ROJO OXIDO,24.0,0,0.0,0,0.0,38.0,57.0,47.0
79,CARROLAC BRILL,RAL,6010,CARROLAC BRILL RAL 6010,CARROLAC TRANSPARENTE,856.0,CARROLAC BLANCO,3.0,PT8005 AMARILLO SIC,31.8,PT700 VERDE,29.2,PT804 AMARILLO OXIDO,78.3,PT908 ROJO OXIDO,1.7000000000000002,0,0.0,62.0,117.0,59.0
80,CARROLAC BRILL,RAL,6011,CARROLAC BRILL RAL 6011,CARROLAC TRANSPARENTE,622.2,CARROLAC BLANCO,244.60000000000002,P7080 AZUL,16.5,PT831 AMARILLO,34.300000000000004,PT804 AMARILLO OXIDO,73.1,PT908 ROJO OXIDO,9.3,0,0.0,104.0,130.0,91.0
81,CARROLAC BRILL,RAL,6012,CARROLAC BRILL RAL 6012,CARROLAC TRANSPARENTE,864.6000000000001,CARROLAC BLANCO,39.8,PT244 NEGRO COLORES,55.9,PT831 AMARILLO,24.8,PT700 VERDE,14.9,0,0.0,0,0.0,49.0,64.0,61.0
82,CARROLAC BRILL,RAL,6014,CARROLAC BRILL RAL 6014,CARROLAC TRANSPARENTE,847.0,PT244 NEGRO COLORES,49.0,PT804 AMARILLO OXIDO,100.0,PT972 ROJO,4.0,0,0.0,0,0.0,0,0.0,68.0,67.0,55.0
83,CARROLAC BRILL,RAL,6015,CARROLAC BRILL RAL 6015,CARROLAC TRANSPARENTE,831.8000000000001,CARROLAC BLANCO,18.2,P7080 AZUL,38.3,PT804 AMARILLO OXIDO,62.400000000000006,PT908 ROJO OXIDO,49.3,0,0.0,0,0.0,61.0,64.0,58.0
84,CARROLAC BRILL,RAL,6016,CARROLAC BRILL RAL 6016,CARROLAC TRANSPARENTE,775.0,CARROLAC BLANCO,81.0,PT8003 NARANJA,10.0,PT8005 AMARILLO SIC,23.1,PT700 VERDE,107.89999999999999,PT804 AMARILLO OXIDO,1.0,PT906 VIOLETA,2.0,2.0,106.0,82.0
85,CARROLAC BRILL,RAL,6017,CARROLAC BRILL RAL 6017,CARROLAC TRANSPARENTE,783.0,CARROLAC BLANCO,66.39999999999999,PT8005 AMARILLO SIC,40.300000000000004,PT700 VERDE,28.599999999999998,PT804 AMARILLO OXIDO,81.7,0,0.0,0,0.0,70.0,134.0,65.0
86,CARROLAC BRILL,RAL,6018,CARROLAC BRILL RAL 6018,CARROLAC TRANSPARENTE,769.0,CARROLAC BLANCO,82.69999999999999,PT8003 NARANJA,4.4,PT831 AMARILLO,126.19999999999999,PT700 VERDE,17.7,0,0.0,0,0.0,72.0,164.0,63.0
87,CARROLAC BRILL,RAL,6019,CARROLAC BRILL RAL 6019,CARROLAC TRANSPARENTE,0.0,CARROLAC BLANCO,948.65,P7080 AZUL,3.61,PT831 AMARILLO,17.64,PT804 AMARILLO OXIDO,30.099999999999998,0,0.0,0,0.0,183.0,217.0,177.0
88,CARROLAC BRILL,RAL,6020,CARROLAC BRILL RAL 6020,CARROLAC TRANSPARENTE,846.7,CARROLAC BLANCO,7.9,P7080 AZUL,20.8,PT700 VERDE,14.399999999999999,PT804 AMARILLO OXIDO,85.19999999999999,PT908 ROJO OXIDO,25.0,0,0.0,53.0,71.0,51.0
89,CARROLAC BRILL,RAL,6021,CARROLAC BRILL RAL 6021,CARROLAC TRANSPARENTE,423.4,CARROLAC BLANCO,482.0,P7080 AZUL,10.2,PT8005 AMARILLO SIC,3.0,PT804 AMARILLO OXIDO,80.3,PT906 VIOLETA,1.1,0,0.0,134.0,164.0,124.0
90,CARROLAC BRILL,RAL,6022,CARROLAC BRILL RAL 6022,CARROLAC TRANSPARENTE,848.3,CARROLAC BLANCO,9.0,PT244 NEGRO COLORES,50.199999999999996,PT8003 NARANJA,34.7,PT831 AMARILLO,57.800000000000004,0,0.0,0,0.0,62.0,60.0,50.0
91,CARROLAC BRILL,RAL,6024,CARROLAC BRILL RAL 6024,CARROLAC TRANSPARENTE,714.8,CARROLAC BLANCO,120.3,PT8003 NARANJA,3.2,PT8005 AMARILLO SIC,53.7,PT700 VERDE,75.0,PT804 AMARILLO OXIDO,33.0,0,0.0,0.0,135.0,84.0
92,CARROLAC BRILL,RAL,6025,CARROLAC BRILL RAL 6025,CARROLAC TRANSPARENTE,776.8000000000001,CARROLAC BLANCO,68.8,P7080 AZUL,11.899999999999999,PT831 AMARILLO,60.4,PT804 AMARILLO OXIDO,79.6,PT972 ROJO,2.5,0,0.0,83.0,117.0,60.0
93,CARROLAC BRILL,RAL,6026,CARROLAC BRILL RAL 6026,CARROLAC TRANSPARENTE,789.3000000000001,CARROLAC BLANCO,67.30000000000001,P7080 AZUL,7.5,PT244 NEGRO COLORES,13.5,PT700 VERDE,122.4,0,0.0,0,0.0,0.0,93.0,82.0
